Symbol,EntryTimestampMarket,ExitTimestampMarket,Shares,EntryPrice,ExitPrice,PnL,TaxReserved,ExitReason,ResultR
BTE,2024-03-18T15:15:00-04:00,2024-03-19T09:45:00-04:00,154,3.36752375,3.45008384,12.71425402,4.07337547,ATR_TARGET,1.93917752
BEKE,2024-03-19T09:45:00-04:00,2024-03-20T09:30:00-04:00,36,14.32073250,14.10941000,-7.60761000,-2.81481570,STOP_GAP,-1.09706487
CLOV,2024-03-20T10:30:00-04:00,2024-03-20T15:30:00-04:00,615,0.84573382,0.88755671,25.72107533,9.51679787,ATR_TARGET,1.96864288
BTE,2024-03-20T13:15:00-04:00,2024-03-21T09:30:00-04:00,151,3.47660550,3.57732559,15.20873370,5.62723147,ATR_TARGET,1.94806817
NXE,2024-03-20T14:15:00-04:00,2024-03-21T09:30:00-04:00,12,7.46559500,7.70726342,2.90002098,1.07300776,ATR_TARGET,1.95324541
BTE,2024-03-21T09:45:00-04:00,2024-03-21T11:00:00-04:00,150,3.58268500,3.50838156,-11.14551654,-4.12384112,ATR_STOP,-1.03674138
BEKE,2024-03-21T09:45:00-04:00,2024-03-21T11:45:00-04:00,37,14.34074750,14.13564346,-7.58884935,-2.80787426,ATR_STOP,-1.05455012
CLOV,2024-03-21T14:15:00-04:00,2024-03-22T09:30:00-04:00,7,0.88636428,0.85905522,-0.19116335,-0.07073044,STOP_GAP,-1.26412076
MVST,2024-03-21T09:45:00-04:00,2024-03-22T09:30:00-04:00,125,0.75056250,0.70937575,-5.14834350,-1.90488710,ATR_STOP,-1.01309655
ACHR,2024-03-20T14:15:00-04:00,2024-03-22T10:45:00-04:00,1,5.04378000,4.90494236,-0.13883764,-0.05136993,ATR_STOP,-1.02723862
CCJ,2024-03-22T09:45:00-04:00,2024-03-22T10:45:00-04:00,2,43.07228000,42.45433779,-1.23588443,-0.45727724,ATR_STOP,-1.05436934
GDS,2024-03-22T10:00:00-04:00,2024-03-22T15:00:00-04:00,1,8.55841400,8.66339891,0.10498491,0.03884442,ATR_STOP,0.38766470
EOSE,2024-03-21T11:30:00-04:00,2024-03-22T15:30:00-04:00,505,1.05078750,0.99045660,-30.46710450,-8.09846121,STOP_GAP,-1.09594978
APP,2024-03-22T14:30:00-04:00,2024-03-25T09:30:00-04:00,1,71.59365500,70.55704250,-1.03661250,0.00000000,STOP_GAP,-1.05849227
BTE,2024-03-22T15:30:00-04:00,2024-03-25T09:30:00-04:00,148,3.48261000,3.56317313,11.92334376,0.85372311,ATR_TARGET,1.93574086
NXE,2024-03-21T12:45:00-04:00,2024-03-25T09:45:00-04:00,67,7.75080875,7.82889834,5.23200286,1.93584106,ATR_STOP,0.54686693
CCJ,2024-03-25T09:45:00-04:00,2024-03-25T10:45:00-04:00,11,43.78281250,43.17919921,-6.63974619,-2.45670609,ATR_STOP,-1.05673748
SGMT,2024-03-25T12:30:00-04:00,2024-03-25T15:00:00-04:00,78,5.66424500,5.16450423,-38.97978033,-0.33285808,ATR_STOP,-1.00781723
MVST,2024-03-25T09:45:00-04:00,2024-03-25T15:30:00-04:00,3,0.74836085,0.76896189,0.06180313,0.00000000,ATR_STOP,0.67463811
SOFI,2024-03-25T13:00:00-04:00,2024-03-26T09:30:00-04:00,6,7.54555493,7.34448750,-1.20640455,0.00000000,STOP_GAP,-1.67606278
GME,2024-03-25T15:45:00-04:00,2024-03-26T09:45:00-04:00,27,15.02125750,15.02872000,0.20148750,0.00000000,STOP_GAP,0.01829105
BE,2024-03-26T09:45:00-04:00,2024-03-26T11:45:00-04:00,8,10.44783000,11.00662393,4.47035148,0.00000000,ATR_TARGET,1.97086292
BTE,2024-03-25T09:45:00-04:00,2024-03-26T12:00:00-04:00,38,3.56106880,3.50168140,-2.25672132,0.00000000,ATR_STOP,-1.04630498
MVST,2024-03-26T10:15:00-04:00,2024-03-26T14:00:00-04:00,10,0.80820570,0.87492461,0.66718908,0.00000000,ATR_TARGET,1.98050671
APP,2024-03-25T10:00:00-04:00,2024-03-26T15:15:00-04:00,7,72.54436750,73.65238376,7.75611379,0.00000000,ATR_STOP,0.80718738
MU,2024-03-26T09:45:00-04:00,2024-03-27T09:30:00-04:00,3,121.04071250,118.20167141,-8.51712327,0.00000000,ATR_STOP,-1.03225722
AFRM,2024-03-26T12:15:00-04:00,2024-03-27T09:30:00-04:00,5,37.85837250,37.00228647,-4.28043013,0.00000000,ATR_STOP,-1.03352903
QS,2024-03-27T10:00:00-04:00,2024-03-27T10:30:00-04:00,84,5.92944375,6.19457561,22.27107628,0.00000000,ATR_TARGET,1.96553194
TSLL,2024-03-27T12:45:00-04:00,2024-03-28T09:30:00-04:00,11,8.52639000,8.22382750,-3.32818750,0.00000000,STOP_GAP,-1.46739355
HIVE,2024-03-27T13:00:00-04:00,2024-03-28T10:15:00-04:00,1,3.23242250,3.42700925,0.19458675,0.00000000,ATR_TARGET,1.97390749
BTE,2024-03-27T11:45:00-04:00,2024-03-28T12:30:00-04:00,147,3.48261000,3.60444397,17.90959425,0.00000000,ATR_TARGET,1.95655410
INTC,2024-03-28T09:30:00-04:00,2024-03-28T12:45:00-04:00,2,43.79282000,44.07721004,0.56878008,0.00000000,ATR_STOP,0.59924876
QS,2024-04-01T09:30:00-04:00,2024-04-01T09:30:00-04:00,25,6.37477750,6.26710408,-2.69183558,0.00000000,ATR_STOP,-1.04568200
EOSE,2024-04-01T09:45:00-04:00,2024-04-01T09:45:00-04:00,9,1.08581375,1.03329232,-0.47269286,0.00000000,ATR_STOP,-1.01498768
PLUG,2024-03-27T11:15:00-04:00,2024-04-01T10:15:00-04:00,148,3.44258000,3.32411944,-17.53216342,0.00000000,ATR_STOP,-1.02151466
STX,2024-03-28T15:30:00-04:00,2024-04-01T10:15:00-04:00,5,92.94966000,92.96308144,0.06710721,0.00000000,ATR_STOP,0.01303088
BE,2024-04-01T09:45:00-04:00,2024-04-01T10:30:00-04:00,13,11.37852750,11.08380086,-3.83144634,0.00000000,ATR_STOP,-1.02904634
MVST,2024-04-01T13:30:00-04:00,2024-04-02T09:30:00-04:00,578,0.87975932,0.64241782,-137.18338700,0.00000000,STOP_GAP,-5.74359219
BLNK,2024-04-01T14:00:00-04:00,2024-04-02T09:30:00-04:00,31,2.98213493,2.86784750,-3.54291018,0.00000000,STOP_GAP,-1.42253937
NVTS,2024-04-01T14:00:00-04:00,2024-04-02T09:30:00-04:00,105,4.85363750,4.71945461,-14.08920394,0.00000000,ATR_STOP,-1.02711444
BEKE,2024-04-02T09:45:00-04:00,2024-04-02T13:15:00-04:00,31,14.44582625,14.25868362,-5.80142151,0.00000000,ATR_STOP,-1.06065520
EVLV,2024-04-02T09:30:00-04:00,2024-04-02T14:45:00-04:00,90,4.95371250,5.08443627,11.76513949,0.00000000,ATR_STOP,0.52531294
BE,2024-04-02T14:30:00-04:00,2024-04-03T09:30:00-04:00,37,11.78803440,11.52135250,-9.86723030,0.00000000,STOP_GAP,-1.17059434
NXE,2024-04-02T13:15:00-04:00,2024-04-03T09:30:00-04:00,7,8.42631500,8.71405183,2.01415779,0.00000000,ATR_TARGET,1.95554910
